date,year,month,month_name,quarter,year_month,price_usd_per_lb,price_usd_per_kg,price_yoy_pct,price_yoy_absolute,price_index_2017,food_cpi_index,cpi_yoy_pct,cpi_yoy_absolute,cpi_index_2017,affordability_index
2023-11-01,2023,11,November,4,2023-11,0.992,2.18698304,3.011422637590866,0.06393398000000028,137.53899480069322,325.172,2.9491193799725757,9.314999999999998,130.03503423611002,105.77072218165293
2023-12-01,2023,12,December,4,2023-12,0.99,2.1825737999999997,1.9567456230689784,0.04188777999999971,137.26169844020794,325.409,2.704843785013833,8.569999999999993,130.1298096261004,105.4805957486601
2024-01-01,2024,1,January,1,2024-01,1.0,2.20462,3.092783505154628,0.06613859999999994,138.6481802426343,327.327,2.566617366890589,8.190999999999974,130.89681046155016,105.92174076186605
2024-02-01,2024,2,February,1,2024-02,1.001,2.2068246199999995,4.379562043795615,0.09259403999999982,138.7868284228769,327.731,2.234152397767719,7.161999999999978,131.05836851031015,105.89696026313555
2024-03-01,2024,3,March,1,2024-03,1.014,2.23548468,3.258655804480659,0.07054784000000014,140.5892547660312,328.043,2.237715161922682,7.180000000000007,131.18313611232284,107.17021938372821
2024-04-01,2024,4,April,2,2024-04,1.025,2.2597354999999997,4.591836734693877,0.09920790000000013,142.11438474870016,328.678,2.2116766076015537,7.112000000000023,131.43707017411145,108.12351839587167
2024-05-01,2024,5,May,2,2024-05,1.002,2.20902924,0.5015045135406293,0.011023100000000063,138.9254766031196,329.12,2.1322021169964733,6.870999999999981,131.61382427696276,105.55538323297291
2024-06-01,2024,6,June,2,2024-06,1.018,2.24430316,1.4955134596211561,0.03306930000000019,141.14384748700172,329.71,2.2179094482818407,7.153999999999996,131.849763011538,107.04899596569652
2024-07-01,2024,7,July,3,2024-07,1.039,2.2906001799999998,3.280318091451284,0.0727524599999998,144.05545927209704,330.561,2.1754249311486173,7.037999999999954,132.1900746439508,108.97600266896379
2024-08-01,2024,8,August,3,2024-08,1.085,2.3920126999999995,8.826479438314937,0.1940065599999996,150.4332755632582,330.75,2.0518358531317338,6.649999999999977,132.26565501824692,113.73570526869197
2024-09-01,2024,9,September,3,2024-09,1.078,2.3765803599999997,9.887869520897041,0.21384814000000008,149.46273830155977,332.083,2.2725312900364614,7.379000000000019,132.7987165999229,112.54833038171586
2024-10-01,2024,10,October,4,2024-10,1.056,2.3280787199999997,10.000000000000009,0.21164351999999997,146.41247833622182,332.678,2.1327414338825568,6.947000000000003,133.0366548152996,110.05423921662224
2024-11-01,2024,11,November,4,2024-11,1.061,2.3391018199999998,6.955645161290325,0.1521187799999999,147.10571923743498,332.904,2.3778185083586534,7.731999999999971,133.12703134752675,110.50026260513314
2024-12-01,2024,12,December,4,2024-12,1.032,2.27516784,4.2424242424242475,0.09259404000000027,143.0849220103986,333.566,2.506691578905307,8.156999999999982,133.39176260564338,107.2666851501257
